2025-12-21 02:21:39 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-12-21 02:21:41 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687dcee90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 02:21:43 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687dcebf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 04:14:39 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-12-21 04:14:41 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687e62620>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 04:14:43 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687e627d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 04:38:09 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-12-21 04:38:11 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687e60280>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 04:38:13 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687e61a80>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 04:54:28 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-12-21 04:54:30 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff687e60f40>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 10:19:24 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-12-21 10:19:26 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x73e15b2cab00>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-21 10:19:28 - ocr_processor - [31mERROR[0m - [deepseek_ocr.py:87] - API 요청 중 오류 발생: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x73e15b2ca7d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
