### Figure 267: FID Supported and Effects Data Structure

| Bits | Description |
|------|-------------|
| 11:7 | Reserved |
| 6 | Controller Data Queue (CDQSCP): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact a Controller Data Queue (refer to 8.1.6). If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact a Controller Data Queue. |
| 5 | NVM Subsystem Scope (NSSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact the whole NVM subsystem. If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact the whole NVM subsystem. |
| 4 | Domain Scope (DSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact a single Domain. If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact a single Domain. |
| 3 | Endurance Group Scope (EGSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact Endurance Groups. If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact Endurance Groups. |
| 2 | NVM Set Scope (NSETSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact NVM Sets. If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact NVM Sets. |
| 1 | Controller Scope (CSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact the controller. If this bit is cleared to ‘0’ and the FSP field is non-zero, then the feature identified by this FID does not have controller scope. |
| 0 | Namespace Scope (NSCPE): If this bit is set to ‘1’, then modifying the attributes of the feature identified by this FID may impact namespaces. If this bit is cleared to ‘0’ and the FSP field is non-zero, then modifying the attributes of the feature identified by this FID does not impact namespaces. |
| 19 | UUID Selection Supported (USS): If this bit is set to ‘1’, then the controller supports the selection of a UUID (refer to section 8.1.30) by a Get Features command or a Set Features command using this FID. If this bit is cleared to ‘0’, then the controller does not support the selection of a UUID by a Get Features command or a Set Features command using this FID. |
| 18:05 | Reserved |
| 04 | Controller Capability Change (CCC): If this bit is set to ‘1’, then changing the attributes of the feature identified by this FID may change controller capabilities. Controller capability changes include a firmware update that changes the capabilities reported in the CAP property. If this bit is cleared to ‘0’, then changing the attributes of the feature identified by this FID does not modify controller capabilities. |
| 03 | Namespace Inventory Change (NIC): If this bit is set to ‘1’, then changing the attributes of the feature identified by this FID may change the number of namespaces or capabilities for multiple namespaces. Namespace inventory changes include adding or removing namespaces. If this bit is cleared to ‘0’, then changing the attributes of the feature identified by this FID does not modify the number of namespaces or capabilities for multiple namespaces. |
| 02 | Namespace Capability Change (NCC): If this bit is set to ‘1’, then changing the attributes of the feature identified by this FID may change the capabilities of a single namespace. Namespace capability changes include a logical format change. If this bit is cleared to ‘0’, then changing the attributes of the feature identified by this FID does not modify any namespace capabilities for the specified namespace. |
