specific Identify Namespace data structure include several unique identifiers. The format and layout of these unique identifiers is described in section 4.7.1.

Section 5.2.13.2 describes Identify data structures that are common to all transport models. Section 5.2.13.3 describes Identify data structures that are specific to the Memory-based transport model. Section 5.2.13.4 describes Identify data structures that are specific to the Message-based transport model.

**Figure 326: Identify – CNS Values**

| CNS Value | O/M¹ | Definition | NSID² | CNTID³ | CSI⁴ | Reference Section |
|-----------|------|-----------|-------|--------|------|-------------------|
| **Active Namespace Management** |      |           |       |        |      |                   |
| 00h       | M¹¹ | Identify Namespace data structure for the specified NSID or the namespace capabilities for the NVM Command Set.⁷ | Y | N | N⁸ | NVM Express NVM Command Set Specification |
| 01h       | M   | Identify Controller data structure for the controller processing the command.⁷ | N | N | N | 5.2.13.2.1 |
| 02h       | M   | Active Namespace ID list. | Y | N | N | 5.2.13.2.2 |
| 03h       | M   | Namespace Identification Descriptor list for the specified NSID. | Y | N | N | 5.2.13.2.3 |
| 04h       | O   | An NVM Set List (refer to Figure 333) is returned to the host for up to 31 NVM Sets. The list contains entries for NVM Set identifiers greater than or equal to the value specified in the NVM Set Identifier (CDW11.NVMSETID) field. | N | N | N | 5.2.13.2.4 |
| 05h       | M   | I/O Command Set specific Identify Namespace data structure for the specified NSID for the I/O Command Set specified in the CSI field.⁷ | Y | N | Y | 5.2.13.2.5 |
| 06h       | M   | I/O Command Set specific Identify Controller data structure for the controller processing the command.⁷ | N | N | Y | 5.2.13.2.6 |
| 07h       | M   | Active Namespace ID list associated with the specified I/O Command Set. | Y | N | Y | 5.2.13.2.7 |
| 08h       | M   | I/O Command Set Independent Identify Namespace data structure. | Y | N | N | 5.2.13.2.8 |
| 09h       | O   | Identify Namespace data structure for the specified Format Index containing the namespace capabilities for the NVM Command Set.⁷ | N | N | Y | NVM Express NVM Command Set Specification |
| 0Ah       | O   | I/O Command Set specific Identify Namespace data structure for the specified Format Index containing the namespace capabilities for the I/O Command Set specified in the CSI field.⁷ | N | N | Y | I/O Command Set Specification |
| 0Bh to 0Fh | Reserved | | | | | |
| **Controller and Namespace Management** |      |           |       |        |      |                   |
| 10h       | O⁵ | Allocated Namespace ID list. | Y | N | N | 5.2.13.2.9 |
| 11h       | O⁵, 11 | Identify Namespace data structure for the specified allocated NSID. | Y | N | N⁸ | 5.2.13.2.10 |
| 12h       | O⁵ | Controller List of controllers that have the specified namespace attached. | Y | Y | N | 5.2.13.2.11 |
| 13h       | O⁵ | Controller List of controllers that exist in the NVM subsystem. | N | Y | N | 5.2.13.2.12 |
| 14h       | O⁶ | Primary Controller Capabilities data structure for the specified primary controller. | N | Y | N | 5.2.13.3.1 |
| 15h       | O⁶ | Secondary Controller list of controllers associated with the primary controller processing the command. | N | Y | N | 5.2.13.3.2 |
