Figure 328: Identify – Identify Controller Data Structure, I/O Command Set Independent

| Bytes | I/O1 | Admin1 | Disc1 | Description |
|-------|-----|-------|------|-------------|
| 15    |     |       |      | • The controller reported VSL, WZSL, and WUSL values in the I/O Command Set specific Identify Controller data structure (refer to the NVM Express NVM Command Set Specification) do not include interleaved metadata. If this bit is cleared to ‘0’, then: |
|       |     |       |      | • The controller reported MDTS values include interleaved metadata. |
|       |     |       |      | • The controller reported VSL, WZSL, and WUSL values in the I/O Command Set specific Identify Controller data structure include interleaved metadata. |
|       |     |       |      | Extended LBA Formats Supported (ELBAS): If this bit is set to ‘1’, then the controller supports the I/O command set specific extended protection information formats (refer to the Protection Information Formats section of the applicable NVM Express I/O Command Set specification). If this bit is cleared to ‘0’, then the controller does not support the I/O command set specific extended protection information formats (refer to the Protection Information Formats section of the NVM Express NVM Command Set Specification). |
|       |     |       |      | Refer to the LBA Format Extension Enable (LBAFEE) field in the Host Behavior Support feature (refer to section 5.2.26.1.14) for details for the host to enable the controller to operate on namespaces using the protection information formats. NOTE: This bit field applies to all I/O Command Sets. The original name has been retained for historical continuity. |
|       |     |       |      | Delete NVM Set (DNVMS): If this bit is set to ‘1’, then the controller supports the Delete NVM Set operation (refer to section 8.1.4.3). If this bit is cleared to ‘0’, then the controller does not support the Delete NVM Set operation. |
|       |     |       |      | Delete Endurance Group (DEG): If this bit is set to ‘1’, then the controller supports the Delete Endurance Group operation (refer to section 8.1.4.3). If this bit is cleared to ‘0’, then the controller does not support the Delete Endurance Group operation. |
|       |     |       |      | Variable Capacity Management (VCM): If this bit is set to ‘1’, then the controller supports Variable Capacity Management (refer to section 8.1.4.3). If this bit is cleared to ‘0’, then the controller does not support Variable Capacity Management. |
|       |     |       |      | Fixed Capacity Management (FCM): If this bit is set to ‘1’, then the controller supports Fixed Capacity Management (refer to section 8.1.4.2). If this bit is cleared to ‘0’, then the controller does not support Fixed Capacity Management. |
|       |     |       |      | If the Flexible Data Placement capability is supported (i.e., the FDPS bit is set to ‘1’), then this bit shall be cleared to ‘0’. |
|       |     |       |      | Multi-Domain Subsystem (MDS): If this bit is set to ‘1’, then the NVM subsystem supports the multiple domains (refer to section 3.2.5). If this bit is cleared to ‘0’, then the NVM subsystem does not support the reporting of multiple domains and the NVM subsystem consists of a single domain. |
|       |     |       |      | UUID List (ULIST): If this bit is set to ‘1’, then the controller supports reporting of a UUID List (refer to Figure 336). If this bit is cleared to ‘0’, then the controller does not support reporting of a UUID List (refer to section 8.1.30). |
|       |     |       |      | SQ Associations (SQA): If this bit is set to ‘1’, then the controller supports SQ Associations (refer to section 8.1.27). If this bit is cleared to ‘0’, then the controller does not support SQ Associations. |
