Figure 328: Identify – Identify Controller Data Structure, I/O Command Set Independent

| Bytes | I/O¹ | Admin¹ | Disc¹ | Description |
|-------|------|--------|-------|-------------|
| 393:392 | O | O | P | Interval Power Measurement Sample Rate (IPMSR): This field indicates the maximum interval between power measurement samples used to collect interval power measurements (refer to section 8.1.19). The time in seconds is equal to the value in the Sample Rate Value field multiplied by the scale indicated in the Sample Rate Scale field. A value of 0h indicates an interval power measurement sample rate is not reported. If a non-zero value is reported in this field, then: |
|       |      |       |       | • the value indicated in this field shall be less than or equal to 1 second; and |
|       |      |       |       | • it is recommended that implementations indicate a value of 2 milliseconds or less (i.e., 2 milliseconds or faster rate) in this field. |

| Bits | Description |
|------|-------------|
| 15:8 | Sample Rate Scale (SRS): This field contains the scale for the Interval Power Measurement Sample Rate field. |

| Value | Definition |
|-------|------------|
| 0h    | Not reported |
| 1h    | 1 microsecond |
| 2h    | 10 microseconds |
| 3h    | 100 microseconds |
| 4h    | 1 millisecond |
| 5h    | 10 milliseconds |
| All others | Reserved |

| 7:0 | Sample Rate Value (SRV): This field contains the value for the Interval Power Measurement Sample Rate field. If the Sample Rate Scale field is cleared to 0h, then this field shall be cleared to 0h. |

| Bits | Description |
|------|-------------|
| 395:394 | Maximum Stop Measurement Time (MSMT): This field indicates the maximum stop measurement time allowed to be specified in the SMT field for a Set Features command specifying the Power Measurement feature (refer to section 5.2.26.1.27). A value of 0h indicates that a maximum stop measurement time is not reported. |

| 511:396 | Reserved |

NVM Command Set Attributes

Submission Queue Entry Size (SQES): This field defines the required and maximum I/O Submission Queue entry size.

| Bits | Description |
|------|-------------|
| 7:4 | Maximum I/O Submission Queue Entry Size (MAXSQES): This field identifies the maximum I/O Submission Queue entry size when using the NVM Command Set. This value is greater than or equal to the required SQ entry size (i.e., the MINSQES field). The value is in bytes and is reported as a power of two (2^n). The recommended value is 6, corresponding to a standard SQ entry size of 64 bytes. Controllers that implement proprietary extensions may support a larger value. |
| 3:0 | Minimum I/O Submission Queue Entry Size (MINSQES): This field identifies the required (i.e., minimum) I/O Submission Queue entry size. This is the minimum entry size that may be used. The value is in bytes and is reported as a power of two (2^n). The required value shall be 6, corresponding to 64. |
