Figure 693: RPMB Contents

| Content | Type | Size | Description |
|----------|------|------|-------------|
| Authentication Key | Write once, not erasable or readable | Size is dependent on authentication method reported in Identify Controller data structure (e.g., SHA-256 is 32 bytes (refer to RFC 6234)) | Authentication key which is used to authenticate accesses when MAC is calculated. |
| Write Counter | Read only | 4 bytes | Counter value for the total amount of successful authenticated data write requests made by the host. The initial value of this property after manufacture is 00000000h. The value is incremented by one automatically by the controller with each successful programming access. The value is not resettable. After the counter has reached the maximum value of FFFFFFFFh, the controller shall no longer increment to prevent overflow. |
| RPMB Data Area | Readable and writable, not erasable | Size is reported in Identify Controller data structure (128 KiB minimum, 32 MiB maximum) | Data that is able to be read and written only via successfully authenticated read/write access. |

Each RPMB Data Frame is 256 bytes in size plus the size of the Data field, and is organized as shown in Figure 694. RPMB uses a sector size of 512 bytes. The RPMB sector size is independent and not related to the user data size used for the namespace(s).

Figure 694: RPMB Data Frame

| Bytes | Description |
|-------|-------------|
| 222-N:00 | Stuff Bytes (STBY): Padding for the frame. Values in this field are not part of the MAC calculation. The size is 223 bytes minus the size of the Authentication Key (N). |
| 222-222-(N-1) | Message Authentication Code / Authentication Key (MAC/Key): Size is dependent on authentication method reported in the Identify Controller data structure (e.g., SHA-256 key is 32 bytes (refer to RFC 6234)). |
| 223 | RPMB Target (RBT): Indicates which RPMB this Request/Response is targeted for. Values 0-6 are supported. If the value in this field is not equal to the NVMe Security Specific Field (NSSF) in the Security Send or Security Receive command, then the controller shall return an error of Invalid Field in Command for the Security Send or Security Receive command. |
| 239:224 | Nonce (NCE): Random number generated by the host for the requests and copied to the response by the RPMB target. |
| 243:240 | Write Counter (WCNTR): Total amount of successfully authenticated data write requests. |
| 247:244 | Address (ADDR): Starting address of data to be programmed to or read from the RPMB. |
| 251:248 | Sector Count (SCNT): Number of sectors (512 bytes) requested to be read or written. |
| 253:252 | Result (RSLT): Defined in Figure 692. Note: The Result field is not needed for Requests. |
| 255:254 | Request or Response Message (RRM): Defined in Figure 691. |
| (M-1)+256:256 | Data (DATA): Data to be written or read by signed access where \( M = 512 * \text{Sector Count} \). This field is optional. |

Security Send and Security Receive commands are used to encapsulate and deliver data packets of any security protocol between the host and controller without interpreting, dis-assembling or re-assembling the data packets for delivery. Security Send and Security Receive commands used for RPMB access are populated with the RPMB Data Frame(s) defined in Figure 694. The controller shall not return successful completion of a Security Send or Security Receive command for RPMB access until the requested RPMB Request/Response Message Type indicated is completed. The Security Protocol used for RPMB is defined in section 5.2.24.3.
